Herkunft,Datei,Anzahl
(the inv_no is collective),extrahierte_daten.csv,11
(trash),extrahierte_daten.csv,1
(unbestimmt),extrahierte_daten.csv,70
(unbestimmt); Ro: Rede des Sachmetpriesters Renseneb,extrahierte_daten.csv,1
Abusir el-Meleq,extrahierte_daten.csv,1
Abydos,extrahierte_daten.csv,3
Achmim,extrahierte_daten.csv,2
Asasif,extrahierte_daten.csv,4
Deir Rifeh,extrahierte_daten.csv,1
Deir el-Bahari,extrahierte_daten.csv,2
Deir el-Medineh,extrahierte_daten.csv,71
Dimeh,extrahierte_daten.csv,1
Fajjum,extrahierte_daten.csv,4
Fajjum2,extrahierte_daten.csv,1
Fayyum?,extrahierte_daten.csv,1
Gebelein,extrahierte_daten.csv,1
Gisa,extrahierte_daten.csv,1
Harageh,extrahierte_daten.csv,1
Ilwet el-Scheich Abd-el-Gurna,extrahierte_daten.csv,2
Karnak,extrahierte_daten.csv,1
Lischt,extrahierte_daten.csv,1
Luxor,extrahierte_daten.csv,1
Memphis,extrahierte_daten.csv,4
Nildelta,extrahierte_daten.csv,1
"Papyrus, bestehend aus ca. 200 Fragmenten v.a. aus Kopenhagen (P. Carlsberg inv. 205) sowie in Florenz, Kairo, Michigan, Oxford, Yale",extrahierte_daten.csv,1
"Pekrur: in der Mitte der beiden Heere stehen zwischen den Schilden, laut sprechen, Urdiimenniut und Pami als Gegner aufrufen, 27 Kämpfer, 40 Helden, Göttersöhne des Inaros stürmen, Leute des Gaues von Heliopolis: Aufstellung nehmen gegenüber dem Heer des Gaues von Mendes, Petechons als Kampfpartner des Anchhor, Pa-sit-wer und Ptahmeni und Petechons Sohn der Bakrenef, Heer des Gaues von Pi-Sopdu gegenüber aufstellen von Heer von Sebennytos, Ptahmeni und Heer von Permeneschre gegenüber aufstellen von Heer des Gaues von Tanis, Sebekhotep und Anchhor Sohn des Halbes zusammen aufstellen, aufstellen Mann gegen Mann entsprechend ihrer Stärke der Truppe etc",extrahierte_daten.csv,1
Qurna,extrahierte_daten.csv,3
Ramesseum,extrahierte_daten.csv,5
Saqqara,extrahierte_daten.csv,27
"Saqqara, Nekropolen",extrahierte_daten.csv,5
"Sohn eines Mannes vom Gerichtshof, Bote der Zufriedenheit des Volkes: Tragjocharme der Gerichtswaage schützen",extrahierte_daten.csv,1
Tal der Könige,extrahierte_daten.csv,3
Tebtynis,extrahierte_daten.csv,21
"Tebtynis Tempelbibliothek, vermutlich Teil des Inaros-Petubastis-Erzählzyklus, P. Carlsberg inv. 448 + Fragm., Kopenhagen, Fragmente aus Florenz, ein Fragment aus Yale",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection 710 ro",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 125",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 159 Vo + Florence, Istituto Papirologico 'G. Vitelli' PSI inv. D 10 Vo; Ro.: griechischer Text aus dem 9. Jahr von Traian (= 105)",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 421 Vo + Florence, Istituto Papirologico 'G. Vitelli' PSI inv. D 15 + Oxford, Sackler Library, Papyrology Rooms EES Box 24 without number [9] Vo",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 424 + Copenhagen, Carlsberg Papyrus Collection P. 499 + Carlsberg Papyrus Collection P. 559 + PSI inv. D 60 vo.; traces of a palimpsest on Ro & Vo",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 456 + Florence, Istituto Papirologico 'G. Vitelli' PSI inv. D 59 + New Haven, Yale University, Beinecke Library P. CtYBR 4513",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 459 ro + Florence, Istituto Papirologico 'G. Vitelli' PSi inv. D 51",extrahierte_daten.csv,1
"Tebtynis Temple Library, Copenhagen, Carlsberg Papyrus Collection P. 606 vo.; ro: ined. griechischer Text",extrahierte_daten.csv,1
"Tebtynis Temple Library; jetzt Copenhagen, Carlsberg Papyrus Collection P. 555 vo.",extrahierte_daten.csv,1
Tell Edfu,extrahierte_daten.csv,1
Theben,extrahierte_daten.csv,17
"Theben, westliches Ufer",extrahierte_daten.csv,26
"aus den Grabungen von W.M.F. Petrie in Kom Medinet Ghurab (Fischer-Elfert, in: JEA 84, 1998, 87)",extrahierte_daten.csv,1
el-Hibe,extrahierte_daten.csv,3
el-Lahun,extrahierte_daten.csv,9
nan,extrahierte_daten.csv,25
